Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,732-61300621821-ND,61300621821,WR-PHD 2.54 MM DUAL SOCKET HEADE,,10,0,$0.59000,$5.90
2,S7013-ND,PPTC151LFBN-RC,CONN HDR 15POS 0.1 TIN PCB,,10,0,$1.20300,$12.03
3,455-2929-ND,SMR-03V-B,CONN RCPT HSG 3POS 2.50MM,,10,0,$0.18300,$1.83
4,497-3278-5-ND,TYN1225RG,SCR 1.2KV 25A TO220AB,,1,0,$4.98000,$4.98
5,160-1374-5-ND,MOC3021,OPTOISOLATOR 5KV TRIAC 6DIP,,5,0,$0.84000,$4.20
6,1740-1017-ND,"BT136-600D,127",TRIAC SENS GATE 600V 4A TO220AB,,3,0,$0.95000,$2.85
7,160-1366-5-ND,LTV-817,OPTOISOLATR 5KV TRANSISTOR 4-DIP,,10,0,$0.58000,$5.80
8,DF02MDI-ND,DF02M,BRIDGE RECT 1PHASE 200KV 1A DFM,,5,0,$0.62000,$3.10
9,2073-USB4125-GF-ACT-ND,USB4125-GF-A,CONN RCPT TYPE C 6P SMD RA,,10,0,$0.84300,$8.43
10,2223-TS02-66-70-BK-160-LCR-D-ND,TS02-66-70-BK-160-LCR-D,"6 X 6 MM, 7 MM ACTUATOR HEIGHT,",,50,0,$0.14040,$7.02
11,CP-102AH-ND,PJ-102AH,CONN PWR JACK 2X5.5MM SOLDER,,5,0,$1.15000,$5.75
12,2057-PH2-06-UA-ND,PH2-06-UA,CONN HEADER VERT 6POS 2.54MM,,20,0,$0.14400,$2.88
13,TC74HC08APF-ND,TC74HC08APF,IC GATE AND 4CH 2-INP 14DIP,,5,0,$0.69000,$3.45
14,TC74HC14APF-ND,TC74HC14APF,IC INVERT SCHMITT 6CH 1-IN 14DIP,,5,0,$0.71000,$3.55
15,TC74HC00APF-ND,TC74HC00APF,IC GATE NAND 4CH 2-INP 14DIP,,5,0,$0.74000,$3.70
16,296-2028-ND,CD4001BE,IC GATE NOR 4CH 2-INP 14DIP,,5,0,$0.81000,$4.05
17,296-12803-5-ND,CD74HC32E,IC GATE OR 4CH 2-INP 14DIP,,5,0,$0.75000,$3.75
18,296-8294-5-ND,SN74HC266N,IC GATE XNOR OD 4CH 2-INP 14DIP,,2,0,$1.03000,$2.06
19,296-14128-ND,CD4070BE,IC GATE XOR 4CH 2-INP 14DIP,,5,0,$0.78000,$3.90
20,732-61300821821-ND,61300821821,WR-PHD 2.54 MM DUAL SOCKET HEADE,,10,0,$0.55000,$5.50
21,2057-RS2-04-G-ND,RS2-04-G,RECEPTACLE STRIP 4P 2.54MM PITCH,,10,0,$0.49500,$4.95
22,2057-RS1-04-G-ND,RS1-04-G,RECEPTACLE STRIP 4P 2.54MM PITCH,,10,0,$0.38400,$3.84
23,AZ1117IH-3.3TRG1DICT-ND,AZ1117IH-3.3TRG1,IC REG LINEAR 3.3V 1A SOT223,,20,0,$0.46900,$9.38
24,1727-3862-1-ND,"PMEG2020EH,115",DIODE SCHOTTKY 20V 2A SOD123F,,20,0,$0.50800,$10.16
25,ATTINY84A-PU-ND,ATTINY84A-PU,IC MCU 8BIT 8KB FLASH 14DIP,,2,0,$2.48000,$4.96
,,,,,,,Subtotal,$128.02
