Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,SJ5003-0-ND,SJ-5003 (BLACK),"BUMPER CYLINDRICAL 0.44"" DIA BLK",,56,0,$0.17054,$9.55
2,1528-1031-ND,1752,EVAL BOARD FOR MAX9744,,1,1,$27.96000,$27.96
3,473-1000-ND,503,"PROTO BOARD COPPER CLAD 5"" X 3""",,1,0,$11.95000,$11.95
4,255-2102-5-ND,AQG22105,SSR RELAY SPST-NO 2A 75-264V,,2,0,$8.21000,$16.42
5,31-AZ1117CH2-3.3TRG1CT-ND,AZ1117CH2-3.3TRG1,IC REG LINEAR 3.3V 1A SOT223,,5,0,$0.52000,$2.60
6,AZ1117IH-5.0TRG1DICT-ND,AZ1117IH-5.0TRG1,IC REG LINEAR 5V 1A SOT223,,5,0,$0.57000,$2.85
7,277-12547-ND,5442206,TERM BLK 2P SIDE ENT 5.08MM PCB,,10,0,$0.68500,$6.85
8,EG1903-ND,EG1218,SWITCH SLIDE SPDT 200MA 30V,,10,0,$1.04000,$10.40
9,2057-ICS-308-T-ND,ICS-308-T,"IC SOCKET, DIP, 8P 2.54MM PITCH",,10,0,$0.19800,$1.98
,,,,,,,Subtotal,$90.56
