Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,609-4618-1-ND,10118194-0001LF,CONN RCPT USB2.0 MICRO B SMD R/A,,20,0,$0.57900,$11.58
2,S7013-ND,PPTC151LFBN-RC,CONN HDR 15POS 0.1 TIN PCB,,20,0,$1.19800,$23.96
3,732-12918-ND,971100244,BRASS SPACER STUD METRIC THREAD,,4,0,$0.98000,$3.92
4,CP-002AHPJCT-ND,PJ-002AH-SMT-TR,CONN PWR JACK 2X5.5MM SOLDER,,5,0,$2.09000,$10.45
5,MMBT2222ATPMSCT-ND,MMBT2222A-TP,TRANS NPN 40V 0.6A SOT23,,100,0,$0.05830,$5.83
6,PTV09A-4020F-B103-ND,PTV09A-4020F-B103,POT 10K OHM 1/20W CARBON LINEAR,,5,0,$1.46000,$7.30
,,,,,,,Subtotal,$63.04
