"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","1","1570-MR3010E12B1+6-RSR-ND","MR3010E12B1+6-RSR","FAN AXIAL 30X10MM 12VDC WIRE","","0","25.20000","$25.20"
"","","","","","","","Subtotal","$25.20"
