Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,BAT-HLD-001-THM-ND,BAT-HLD-001-THM,BATT RETAIN COIN 1 CELL PC PIN,,20,0,$0.55100,$11.02
2,CT2104MS-ND,210-4MS,SWITCH SLIDE DIP SPST 100MA 20V,,5,0,$0.72000,$3.60
3,399-C0805C220J5GAC7210CT-ND,C0805C220J5GAC7210,CAP CER 22PF 50V C0G/NP0 0805,,50,0,$0.04140,$2.07
4,RMCF0805JG470RCT-ND,RMCF0805JG470R,RES 470 OHM 5% 1/8W 0805,,100,0,$0.01260,$1.26
5,296-1336-1-ND,TLC555CDR,IC OSC SGL TIMER 2.1MHZ 8-SOIC,,10,0,$1.08900,$10.89
6,311-1.00KCRCT-ND,RC0805FR-071KL,RES 1K OHM 1% 1/8W 0805,,100,0,$0.01950,$1.95
7,490-16824-1-ND,GRM21BR61E106KA73K,CAP CER 10UF 25V X5R 0805,,50,0,$0.10080,$5.04
8,S7018-ND,PPTC201LFBN-RC,CONN HDR 20POS 0.1 TIN PCB,,10,0,$1.51100,$15.11
9,RMCF0805JT390RCT-ND,RMCF0805JT390R,RES 390 OHM 5% 1/8W 0805,,100,0,$0.01260,$1.26
10,501-2446-ND,3781-48-0,"MINI HOOK TO MINI HOOK 48""",,1,0,$10.30000,$10.30
11,501-2447-ND,3781-48-2,"MINI HOOK TO MINI HOOK 48""",,1,0,$10.30000,$10.30
12,3781-48-9-ND,3781-48-9,"MINI HOOK TO MINI HOOK 48""",,1,0,$10.30000,$10.30
13,501-1978-ND,3781-48-5,"MINI HOOK TO MINI HOOK 48""",,1,0,$10.30000,$10.30
,,,,,,,Subtotal,$93.40
