"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","2","788-1091-ND","4006-020","IC CURRENT REGULATOR MODULE","","0","3.97000","$7.94"
"","","","","","","","Subtotal","$7.94"
