Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,296-43515-5-ND,LM2679S-ADJ/NOPB,IC REG BUCK ADJ 5A TO263-7,,3,0,$11.01000,$33.03
2,311-9.76KCRCT-ND,RC0805FR-079K76L,RES 9.76K OHM 1% 1/8W 0805,,20,0,$0.06200,$1.24
3,399-C0805C103K1RAC7800CT-ND,C0805C103K1RAC7800,CAP CER 10000PF 100V X7R 0805,10NF OR 0.01UF,20,0,$0.08100,$1.62
4,399-C0805C104K5RAC7800CT-ND,C0805C104K5RAC7800,CAP CER 0.1UF 50V X7R 0805,100NF OR 0.1UF,20,0,$0.14500,$2.90
5,P16560CT-ND,35SVPF22M,CAP ALUM POLY 22UF 20% 35V SMD,,5,0,$1.94000,$9.70
6,SK54B-LTPMSCT-ND,SK54B-LTP,DIODE SCHOTTKY 40V 5A DO214AA,,5,0,$0.70000,$3.50
7,PCD2434CT-ND,ETQ-P5M330YFC,FIXED IND 33UH 5A 75.4 MOHM SMD,,3,0,$2.65000,$7.95
8,541-4138-1-ND,CRCW08054K99FKEAC,RES 4.99K OHM 1% 1/8W 0805,,20,0,$0.09200,$1.84
9,311-1.00CRCT-ND,RC0805FR-071RL,RES 1 OHM 1% 1/8W 0805,,20,0,$0.12200,$2.44
10,399-A768MS107M1HLAE024CT-ND,A768MS107M1HLAE024,CAP ALUM POLY 100UF 20% 50V SMD,,5,0,$1.36000,$6.80
11,311-1.00KCRCT-ND,RC0805FR-071KL,RES 1K OHM 1% 1/8W 0805,,20,0,$0.06200,$1.24
,,,,,,,Subtotal,$72.26
