"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","10","AS78L05RTR-G1DICT-ND","AS78L05RTR-G1","IC REG LINEAR 5V 100MA SOT89-3","","0","0.50500","$5.05"
"2","5","A98077-ND","282836-3","TERM BLK 3POS SIDE ENTRY 5MM PCB","","0","1.85000","$9.25"
"3","10","455-2271-ND","B6B-XH-A(LF)(SN)","CONN HEADER VERT 6POS 2.5MM","","0","0.36700","$3.67"
"4","10","455-2218-ND","XHP-6","CONN RCPT HSG 6POS 2.50MM","","0","0.18200","$1.82"
"5","50","455-2261-1-ND","SXH-002T-P0.6","CONN SOCKET 26-30AWG CRIMP TIN","","0","0.05460","$2.73"
"6","100","311-1.47KCRCT-ND","RC0805FR-071K47L","RES 1.47K OHM 1% 1/8W 0805","","0","0.02080","$2.08"
"7","100","1276-1002-1-ND","CL05B104KP5NNNC","CAP CER 0.1UF 10V X7R 0402","","0","0.01540","$1.54"
"","","","","","","","Subtotal","$26.14"
