Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,CUS08F30H3FCT-ND,"CUS08F30,H3F",DIODE SCHOTTKY 30V 800MA USC,,20,0,$0.31800,$6.36
2,90.9KXBK-ND,MFR-25FBF52-90K9,RES 90.9K OHM 1% 1/4W AXIAL,,25,0,$0.08040,$2.01
3,ATMEGA328-PU-ND,ATMEGA328-PU,IC MCU 8BIT 32KB FLASH 28DIP,,2,0,$4.03000,$8.06
4,2151-AS-16.000-18-ND,AS-16.000-18,CRYSTAL 16.0000MHZ 18PF TH,,10,0,$0.19200,$1.92
5,1276-1043-1-ND,CL05A104KA5NNNC,CAP CER 0.1UF 25V X5R 0402,,100,0,$0.00650,$0.65
6,490-GCM0335C1E220JA16DCT-ND,GCM0335C1E220JA16D,CAP CER 22PF 25V C0G/NP0 0201,,50,0,$0.01960,$0.98
7,490-GRM0335C1H220FA01DCT-ND,GRM0335C1H220FA01D,CAP CER 22PF 50V C0G/NP0 0201,,50,0,$0.02360,$1.18
,,,,,,,Subtotal,$21.16
