Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,DMT6009LCTDI-5-ND,DMT6009LCT,MOSFET N-CH 60V 37.2A TO220AB,,10,0,$1.02600,$10.26
2,314-1209-ND,BU-P1825-0,CONN BAN PLG STACK SLDRLESS,,2,0,$3.34000,$6.68
3,314-1157-ND,BU-P1825-2,CONN BAN PLG STACK SLDRLESS,,2,0,$3.34000,$6.68
4,314-1678-ND,BU-P1825-5,CONN BANANA PLUG STACK SLDRLESS,,2,0,$3.34000,$6.68
5,314-1682-ND,BU-P1825-9,CONN BANANA PLUG STACK SLDRLESS,,2,0,$3.34000,$6.68
6,2648-SC0915CT-ND,SC0915,RASPBERRY PI PICO RP2040,,2,0,$5.73000,$11.46
7,IRF9Z34NPBF-ND,IRF9Z34NPBF,MOSFET P-CH 55V 19A TO220AB,,5,0,$1.55000,$7.75
,,,,,,,Subtotal,$56.19
