Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,PEC11R-4220F-S0024-ND,PEC11R-4220F-S0024,ROTARY ENCODER MECHANICAL 24PPR,,5,0,$2.87600,$14.38
2,1778-WPM467-ND,WPM467,BREADBOARD 3.3V/5V POWER SUPPLY,,1,0,$11.03000,$11.03
3,31-AZ1117CH2-3.3TRG1CT-ND,AZ1117CH2-3.3TRG1,IC REG LINEAR 3.3V 1A SOT223,,3,0,$0.52000,$1.56
4,AZ1117IH-5.0TRG1DICT-ND,AZ1117IH-5.0TRG1,IC REG LINEAR 5V 1A SOT223,,3,0,$0.55000,$1.65
5,1276-2891-1-ND,CL21A106KAYNNNE,CAP CER 10UF 25V X5R 0805,,50,0,$0.10200,$5.10
6,1276-CL21A226MAYNNNECT-ND,CL21A226MAYNNNE,CAP CER 22UF 25V X5R 0805,,50,0,$0.16460,$8.23
,,,,,,,Subtotal,$41.95
