Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,2019-RK73B2ATTD512JCT-ND,RK73B2ATTD512J,RES 5.1K OHM 5% 1/4W 0805,,100,0,$0.01850,$1.85
2,2073-USB4110-GF-A-1-ND,USB4110-GF-A,CONN RCP USB2.0 TYP C 24P SMD RA,,10,0,$1.63800,$16.38
3,473-1048-ND,855-5,"BRUSH SGL HEAD HORSE HAIR 6"" 5PC",,1,0,$10.46000,$10.46
4,16-35792-ND,35792,"YELLOW WASH BOTTLE, 8 OZ, DURAST",,1,0,$19.67000,$19.67
5,315-NC191LTA10-ND,NC191LTA10,SMOOTH FLOW LOW TEMP SOLDER PAST,,1,0,$11.39000,$11.39
6,478-3057-1-ND,TAJR475M010RNJ,CAP TANT 4.7UF 20% 10V 0805,,10,0,$0.43000,$4.30
,,,,,,,Subtotal,$64.05
